State Bucket,Draw Call #,GPUTime (ms),GPUBusy (%),TessellatorBusy (%),VSBusy (%),VSTime (ms),HSBusy (%),HSTime (ms),DSBusy (%),DSTime (ms),GSBusy (%),GSTime (ms),PSBusy (%),PSTime (ms),CSBusy (%),CSTime (ms),PrimitiveAssemblyBusy (%),TexUnitBusy (%),DepthStencilTestBusy (%),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusy (%),VSSALUBusy (%),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusy (%),HSSALUBusy (%),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusy (%),GSSALUBusy (%),PSPixelsOut,PSExportStalls (%),PSVALUInstCount,PSSALUInstCount,PSVALUBusy (%),PSSALUBusy (%),TexTriFilteringPct (%),TexVolFilteringPct (%),TexAveAnisotropy,State Hash
SB 0,402,0.519679999999997,100.000000000001,1.47649635621922,26.0058942518474,0.1351474289,0,0,0,0,0,0,58.54708953202,0.3042574812,0,0,13.9465307124385,26.7871178531405,33.8391598908746,14410,80828.5,2807,0.0551694580123155,0.00388615017610839,0,0,0,0,0,0,0,0,0,0,0,3075332,22.3606136545568,2728,322.5,4.11088363205051,1.52729661219213,0,0,0,
glBlitFramebuffer,402,0.07248,100,0.106615,2.12031,0.0015368,0,0,0,0,0,0,100,0.07248,0,0,0.983748,5.52278,157.75,6,21.5,5,0.000680228,0.000277644,0,0,0,0,0,0,0,0,0,0,0,1280000,159.546,8,2.5,10.3036,6.43978,0,0,0,<hash><FBO>0</FBO></hash>
glClear,1,0.01664,100,1.55467,14.0525,0.00233834,0,0,0,0,0,0,0,0,0,0,7.98497,0.131715,20.7182,4,7,2,0.00188936,0.00107963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>3</Attachment></Depth><FBO>2</FBO></hash>
glDrawArrays,251,0.01376,100,1.55515,24.7144,0.0034007,0,0,0,0,0,0,100,0.01376,0,0,13.3676,36.5628,16.2283,36,202,7,0.0605981,0.00419987,0,0,0,0,0,0,0,0,0,0,0,20706,0,34,4,3.50533,0.824783,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>3</Attachment></Depth><FBO>2</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,170,0.01072,100,1.16192,17.5614,0.00188258,0,0,0,0,0,0,100,0.01072,0,0,9.52125,77.8895,27.6547,36,202,7,0.0452752,0.00313789,0,0,0,0,0,0,0,0,0,0,0,58259,0,34,4,7.2575,1.70765,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>3</Attachment></Depth><FBO>2</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,190,0.01056,100,1.10944,17.2853,0.00182533,0,0,0,0,0,0,100,0.01056,0,0,9.33947,84.3566,30.9153,36,202,7,0.0432304,0.00299616,0,0,0,0,0,0,0,0,0,0,0,58048,0,34,4,6.94549,1.63423,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>3</Attachment></Depth><FBO>2</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,213,0.0104,100,0.906446,13.9184,0.00144752,0,0,0,0,0,0,100,0.0104,0,0,7.55372,95.0118,80.4387,36,202,7,0.0353206,0.00244796,0,0,0,0,0,0,0,0,0,0,0,198116,2.55921,34,4,18.4811,4.34849,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>3</Attachment></Depth><FBO>2</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,212,0.0104,100,1.02958,16.2001,0.00168481,0,0,0,0,0,0,100,0.0104,0,0,8.76895,84.1304,47.1194,36,202,7,0.0401188,0.00278051,0,0,0,0,0,0,0,0,0,0,0,95495,0.301214,34,4,10.459,2.46093,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>3</Attachment></Depth><FBO>2</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,210,0.01024,100,1.12908,17.2115,0.00176245,0,0,0,0,0,0,100,0.01024,0,0,9.34277,84.5954,24.0974,36,202,7,0.0439957,0.00304921,0,0,0,0,0,0,0,0,0,0,0,55356,0,34,4,6.65017,1.56475,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>3</Attachment></Depth><FBO>2</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,151,0.00976,100,1.94303,30.4228,0.00296926,0,0,0,0,0,0,31.941,0.00311744,0,0,16.4918,1.15442,0.224888,36,202,7,0.0757121,0.00524738,0,0,0,0,0,0,0,0,0,0,0,226,0,34,4,0.0886683,0.0208631,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>3</Attachment></Depth><FBO>2</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
