State Bucket,Draw Call #,GPUTime (ms),GPUBusy (%),TessellatorBusy (%),VSBusy (%),VSTime (ms),HSBusy (%),HSTime (ms),DSBusy (%),DSTime (ms),GSBusy (%),GSTime (ms),PSBusy (%),PSTime (ms),CSBusy (%),CSTime (ms),PrimitiveAssemblyBusy (%),TexUnitBusy (%),DepthStencilTestBusy (%),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusy (%),VSSALUBusy (%),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusy (%),HSSALUBusy (%),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusy (%),GSSALUBusy (%),PSPixelsOut,PSExportStalls (%),PSVALUInstCount,PSSALUInstCount,PSVALUBusy (%),PSSALUBusy (%),TexTriFilteringPct (%),TexVolFilteringPct (%),TexAveAnisotropy,State Hash
SB 0,402,0.742400000000001,100,0.965823454913791,18.5723397030172,0.1378810518,0,0,0,0,0,0,70.101205926724,0.5204313606,0,0,9.92294475646551,55.3909487064008,55.7762919595258,14410,80827.5,2806,0.0358143898948275,0.00252173192909483,0,0,0,0,0,0,0,0,0,0,0,7510620,6.92973893385775,2726,324,10.4086448769612,2.89380988148922,0,0,0,
glBlitFramebuffer,402,0.14784,100,0.0555182,0.763813,0.00112922,0,0,0,0,0,0,100,0.14784,0,0,0.348355,102.474,97.7265,6,20.5,4,0.000321033,0.000109288,0,0,0,0,0,0,0,0,0,0,0,640000,21.6146,6,4,2.03381,2.71175,0,0,0,<hash><FBO>0</FBO></hash>
glClear,1,0.03088,100,0.92381,8.75675,0.00270408,0,0,0,0,0,0,0,0,0,0,4.89862,0.0741479,38.0014,4,7,2,0.0010636,0.00060777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO></hash>
glDrawArrays,213,0.02256,100,0.215919,5.73186,0.00129311,0,0,0,0,0,0,100,0.02256,0,0,3.00621,62.7489,149.779,36,202,7,0.00841353,0.000583116,0,0,0,0,0,0,0,0,0,0,0,774606,17.6236,34,4,49.0576,11.543,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,193,0.01856,100,0.73047,11.4891,0.00213238,0,0,0,0,0,0,100,0.01856,0,0,6.55169,86.5415,117.907,36,202,7,0.0284635,0.00197272,0,0,0,0,0,0,0,0,0,0,0,642196,15.8835,34,4,49.1234,11.5584,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,192,0.01616,100,0.795053,11.8743,0.00191888,0,0,0,0,0,0,100,0.01616,0,0,6.45858,104.59,104.057,36,202,7,0.0309801,0.00214713,0,0,0,0,0,0,0,0,0,0,0,420611,10.89,34,4,33.931,7.98376,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,233,0.01584,100,0.252661,6.7158,0.00106378,0,0,0,0,0,0,100,0.01584,0,0,3.59028,38.0516,138.538,36,202,7,0.00984521,0.000682341,0,0,0,0,0,0,0,0,0,0,0,558593,10.9918,34,4,46.3713,10.9109,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,251,0.01488,100,0.691038,18.6388,0.00277346,0,0,0,0,0,0,92.1069,0.0137055,0,0,9.76198,63.4432,42.983,36,202,7,0.026927,0.00186623,0,0,0,0,0,0,0,0,0,0,0,50657,0.316797,34,4,8.1926,1.92767,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,211,0.01408,100,0.412749,10.9557,0.00154256,0,0,0,0,0,0,100,0.01408,0,0,5.74601,79.1472,108.089,36,202,7,0.0160832,0.00111468,0,0,0,0,0,0,0,0,0,0,0,220581,9.18552,34,4,21.5355,5.06718,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,191,0.0136,100,0.861931,13.6605,0.00185783,0,0,0,0,0,0,100,0.0136,0,0,7.37164,99.1274,78.0367,36,202,7,0.0335861,0.00232775,0,0,0,0,0,0,0,0,0,0,0,254224,7.11235,34,4,18.8594,4.43751,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
