State Bucket,Draw Call #,GPUTime (ms),GPUBusy (%),TessellatorBusy (%),VSBusy (%),VSTime (ms),HSBusy (%),HSTime (ms),DSBusy (%),DSTime (ms),GSBusy (%),GSTime (ms),PSBusy (%),PSTime (ms),CSBusy (%),CSTime (ms),PrimitiveAssemblyBusy (%),TexUnitBusy (%),DepthStencilTestBusy (%),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusy (%),VSSALUBusy (%),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusy (%),HSSALUBusy (%),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusy (%),GSSALUBusy (%),PSPixelsOut,PSExportStalls (%),PSVALUInstCount,PSSALUInstCount,PSVALUBusy (%),PSSALUBusy (%),TexTriFilteringPct (%),TexVolFilteringPct (%),TexAveAnisotropy,State Hash
SB 0,402,0.524159999999999,100,0.833218633394385,10.309360460928,0.0540375489,0,0,0,0,42.8201781135532,0.2244462007,28.3657529945055,0.1486819875,0,0,4.44458926129427,16.9428532087912,15.3945145207906,14413,3213.5,803,0.00124311704822955,0.000619823575091576,0,0,0,0,0,4800,28800,188800,10800,0.0835683704822956,0.00956079076923078,1475970,8.59737549450551,2454,292,0.592013784493285,0.305503356843712,0,0,0,
glDrawArrays,402,0.03344,100,0.304287,3.13796,0.00104933,0,0,0,0,0,0,100,0.03344,0,0,1.77184,15.6638,144.068,9,6.5,1,0.000515069,0.000158483,0,0,0,0,0,0,0,0,0,0,0,640000,131.989,6,4,2.37261,3.16348,0,0,0,<hash><Depth><Enabled>0</Enabled><Attachment>0</Attachment></Depth><FBO>0</FBO><FS>10</FS><GS>0x0000000000000000</GS><Program>8</Program><Stencil><Enabled>1</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>9</VS></hash>
glDrawArrays,251,0.02544,100,0.624318,9.47196,0.00240967,0,0,0,0,42.1954,0.0107345,37.1933,0.00946197,0,0,4.00448,24.1764,1.03332,36,8,2,0.000940238,0.000470119,0,0,0,0,0,12,72,472,27,0.0901204,0.0103104,2556,0,34,4,0.185868,0.0437337,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>3</FS><GS>4</GS><Program>1</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>2</VS></hash>
glDrawArrays,151,0.02528,100,1.06489,10.0651,0.00254446,0,0,0,0,44.7054,0.0113015,12.9249,0.00326742,0,0,4.71501,4.08635,0.00641499,36,8,2,0.00160375,0.000801873,0,0,0,0,0,12,72,472,27,0.0957668,0.0109564,108,0,34,4,0.0243213,0.00572266,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>3</FS><GS>4</GS><Program>1</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>2</VS></hash>
glDrawArrays,101,0.02368,100,1.18149,11.1281,0.00263514,0,0,0,0,49.3127,0.0116773,0,0,0,0,4.86477,5.62633,0,36,8,2,0.00177936,0.00088968,0,0,0,0,0,12,72,472,27,0.106272,0.0121582,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>3</FS><GS>4</GS><Program>1</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>2</VS></hash>
glDrawArrays,301,0.02352,100,0.877471,13.3894,0.00314918,0,0,0,0,58.4666,0.0137513,0,0,0,0,5.38376,3.4676,0,36,8,2,0.00132149,0.000660746,0,0,0,0,0,12,72,472,27,0.105742,0.0120976,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>3</FS><GS>4</GS><Program>1</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>2</VS></hash>
glDrawArrays,351,0.02288,100,0.87525,13.7878,0.00315466,0,0,0,0,58.3171,0.0133429,0,0,0,0,5.41759,3.42191,0,36,8,2,0.00131815,0.000659074,0,0,0,0,0,12,72,472,27,0.10567,0.0120894,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>3</FS><GS>4</GS><Program>1</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>2</VS></hash>
glDrawArrays,401,0.01872,100,0.874213,13.3133,0.00249225,0,0,0,0,58.532,0.0109572,0,0,0,0,5.31111,3.49949,0,36,8,2,0.00131659,0.000658293,0,0,0,0,0,12,72,472,27,0.0788348,0.00901924,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>3</FS><GS>4</GS><Program>1</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>2</VS></hash>
glDrawArrays,51,0.01776,100,1.17764,11.0528,0.00196297,0,0,0,0,49.2766,0.00875153,0,0,0,0,4.92693,5.00851,0,36,8,2,0.00177355,0.000886776,0,0,0,0,0,12,72,472,27,0.106849,0.0122243,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>3</FS><GS>4</GS><Program>1</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>2</VS></hash>
glDrawArrays,201,0.0176,100,0.726032,10.908,0.0019198,0,0,0,0,49.19,0.00865745,0,0,0,0,4.62955,2.85602,0,36,8,2,0.00109342,0.000546711,0,0,0,0,0,12,72,472,27,0.105444,0.0120635,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>3</FS><GS>4</GS><Program>1</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>2</VS></hash>
