State Bucket,Draw Call #,GPUTime (ms),GPUBusy (%),TessellatorBusy (%),VSBusy (%),VSTime (ms),HSBusy (%),HSTime (ms),DSBusy (%),DSTime (ms),GSBusy (%),GSTime (ms),PSBusy (%),PSTime (ms),CSBusy (%),CSTime (ms),PrimitiveAssemblyBusy (%),TexUnitBusy (%),DepthStencilTestBusy (%),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusy (%),VSSALUBusy (%),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusy (%),HSSALUBusy (%),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusy (%),GSSALUBusy (%),PSPixelsOut,PSExportStalls (%),PSVALUInstCount,PSSALUInstCount,PSVALUBusy (%),PSSALUBusy (%),TexTriFilteringPct (%),TexVolFilteringPct (%),TexAveAnisotropy,State Hash
SB 0,402,0.514879999999998,100.000000000001,1.24273609415787,26.7481768769423,0.1377209908,0,0,0,0,0,0,58.9690999067747,0.3036201031,0,0,14.1578013113736,36.3865871090741,28.5715857739684,14410,80827.5,2806,0.0456682932197019,0.00322882680826602,0,0,0,0,0,0,0,0,0,0,0,2387192,13.2073120992543,2726,324,1.7044209035923,0.565923157784341,0,0,0,
glBlitFramebuffer,402,0.06224,100,0.168194,2.21731,0.00138006,0,0,0,0,0,0,100,0.06224,0,0,1.00966,7.97598,123.764,6,20.5,4,0.000972579,0.000331091,0,0,0,0,0,0,0,0,0,0,0,640000,108.857,6,4,1.24221,1.65628,0,0,0,<hash><FBO>0</FBO></hash>
glClear,1,0.0184,100,1.54033,13.9076,0.00255899,0,0,0,0,0,0,0,0,0,0,7.80908,0.123632,21.1228,4,7,2,0.00177341,0.00101338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO></hash>
glDrawArrays,251,0.01296,100,0.833226,22.4945,0.00291529,0,0,0,0,0,0,100,0.01296,0,0,11.7912,64.1006,6.41121,36,202,7,0.0324675,0.00225023,0,0,0,0,0,0,0,0,0,0,0,15778,0,34,4,1.42971,0.336402,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,192,0.01136,100,0.578468,16.1685,0.00183675,0,0,0,0,0,0,100,0.01136,0,0,8.45653,98.6984,80.9641,36,202,7,0.0225406,0.00156222,0,0,0,0,0,0,0,0,0,0,0,104226,0,34,4,6.38848,1.50317,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,210,0.0112,100,0.691569,18.6446,0.0020882,0,0,0,0,0,0,100,0.0112,0,0,9.76307,98.3095,13.9274,36,202,7,0.0269477,0.00186766,0,0,0,0,0,0,0,0,0,0,0,56323,0,34,4,4.26466,1.00345,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,170,0.01088,100,0.678321,18.635,0.00202749,0,0,0,0,0,0,100,0.01088,0,0,9.76028,96.6932,22.4443,36,202,7,0.0264315,0.00183189,0,0,0,0,0,0,0,0,0,0,0,59511,0,34,4,4.2906,1.00955,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,151,0.01008,100,1.8626,29.4625,0.00296982,0,0,0,0,0,0,37.8958,0.0038199,0,0,15.9299,2.67031,0.0948548,36,202,7,0.0725783,0.00503018,0,0,0,0,0,0,0,0,0,0,0,344,0,34,4,0.0685843,0.0161375,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,213,0.00992,100,0.497627,13.3085,0.0013202,0,0,0,0,0,0,100,0.00992,0,0,6.97139,75.0803,96.1035,36,202,7,0.0193906,0.0013439,0,0,0,0,0,0,0,0,0,0,0,176514,1.62181,34,4,9.23671,2.17334,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,212,0.0096,100,0.585398,15.8328,0.00151995,0,0,0,0,0,0,100,0.0096,0,0,8.28952,102.342,84.3975,36,202,7,0.0228106,0.00158093,0,0,0,0,0,0,0,0,0,0,0,92760,0,34,4,5.66182,1.33219,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
