State Bucket,Draw Call #,GPUTime (ms),GPUBusy (%),TessellatorBusy (%),VSBusy (%),VSTime (ms),HSBusy (%),HSTime (ms),DSBusy (%),DSTime (ms),GSBusy (%),GSTime (ms),PSBusy (%),PSTime (ms),CSBusy (%),CSTime (ms),PrimitiveAssemblyBusy (%),TexUnitBusy (%),DepthStencilTestBusy (%),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusy (%),VSSALUBusy (%),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusy (%),HSSALUBusy (%),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusy (%),GSSALUBusy (%),PSPixelsOut,PSExportStalls (%),PSVALUInstCount,PSSALUInstCount,PSVALUBusy (%),PSSALUBusy (%),TexTriFilteringPct (%),TexVolFilteringPct (%),TexAveAnisotropy,State Hash
SB 0,804,0.804479999999997,100,1.26638540314241,30.6197624542563,0.2463298927,0,0,0,0,0,0,43.8335909745427,0.3526324707,0,0,16.1008357517901,23.9697544385442,19.8174519670287,28820,161656,5613,0.0465534795266509,0.00330495002147972,0,0,0,0,0,0,0,0,0,0,0,2846478,12.2775192472156,3278,390.5,1.70888043862371,0.522365214628085,0,0,0,
glBlitFramebuffer,803,0.05568,100,0.169803,2.32944,0.00129703,0,0,0,0,0,0,100,0.05568,0,0,1.04171,8.05994,124.185,6,20.5,4,0.00098188,0.000334257,0,0,0,0,0,0,0,0,0,0,0,640000,109.388,6,4,1.21657,1.62209,0,0,0,<hash><FBO>0</FBO></hash>
glBlitFramebuffer,804,0.0296,100,0.370005,7.54964,0.00223469,0,0,0,0,0,0,100,0.0296,0,0,3.52198,3.71739,51.899,6,21.5,5,0.00236071,0.000963555,0,0,0,0,0,0,0,0,0,0,0,320000,112.054,8,2.5,1.94011,1.21257,0,0,0,<hash><FBO>0</FBO></hash>
glClear,1,0.01712,100,1.49061,14.2274,0.00243574,0,0,0,0,0,0,0,0,0,0,7.93355,0.119641,19.8839,4,7,2,0.00171616,0.000980661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO></hash>
glDrawArrays,251,0.01328,100,0.820897,22.2478,0.00295451,0,0,0,0,0,0,100,0.01328,0,0,11.6471,64.6267,8.36479,36,202,7,0.0319871,0.00221693,0,0,0,0,0,0,0,0,0,0,0,20554,0,34,4,3.54964,0.835209,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,213,0.01088,100,0.490827,13.2857,0.00144548,0,0,0,0,0,0,100,0.01088,0,0,6.96172,83.7179,94.1343,36,202,7,0.0191256,0.00132554,0,0,0,0,0,0,0,0,0,0,0,166510,0.173227,34,4,18.3281,4.3125,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,192,0.0104,100,0.612106,16.1963,0.00168441,0,0,0,0,0,0,100,0.0104,0,0,8.49392,87.2705,77.03,36,202,7,0.0238514,0.00165306,0,0,0,0,0,0,0,0,0,0,0,89653,0,34,4,8.24329,1.9396,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,613,0.0104,100,0.531732,14.7769,0.0015368,0,0,0,0,0,0,100,0.0104,0,0,7.73226,86.7051,80.8183,36,202,7,0.0207195,0.001436,0,0,0,0,0,0,0,0,0,0,0,86581,29.4736,34,4,4.31033,1.0142,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>3</Attachment></Depth><FBO>2</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glClear,402,0.0104,100,1.55608,19.5548,0.0020337,0,0,0,0,0,0,0,0,0,0,10.7197,0.131835,12.667,4,7,2,0.00189107,0.00108061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>3</Attachment></Depth><FBO>2</FBO></hash>
glDrawArrays,151,0.01008,100,1.27024,33.6457,0.00339148,0,0,0,0,0,0,24.0007,0.00241927,0,0,17.6559,0.501823,0.00392049,36,202,7,0.0494962,0.00343043,0,0,0,0,0,0,0,0,0,0,0,50,0,34,4,0.0164296,0.00386578,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
