State Bucket,Draw Call #,GPUTime (ms),GPUBusy (%),TessellatorBusy (%),VSBusy (%),VSTime (ms),HSBusy (%),HSTime (ms),DSBusy (%),DSTime (ms),GSBusy (%),GSTime (ms),PSBusy (%),PSTime (ms),CSBusy (%),CSTime (ms),PrimitiveAssemblyBusy (%),TexUnitBusy (%),DepthStencilTestBusy (%),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusy (%),VSSALUBusy (%),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusy (%),HSSALUBusy (%),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusy (%),GSSALUBusy (%),PSPixelsOut,PSExportStalls (%),PSVALUInstCount,PSSALUInstCount,PSVALUBusy (%),PSSALUBusy (%),TexTriFilteringPct (%),TexVolFilteringPct (%),TexAveAnisotropy,State Hash
SB 0,403,0.70976,99.9999999999998,0.629473840171325,8.15955231064021,0.0579132121,0,0,0,0,33.5895532687105,0.2384052035,48.9800356221821,0.34764071055,0,0,3.53581891343553,28.4526844206492,33.7744632128967,14416,3248,810,0.00107193809265104,0.000509441868124436,0,0,0,0,0,4800,28800,188800,10800,0.0448642404643823,0.00513277299594229,3795492,17.3813594601894,2766,332,3.42729050982867,0.955283495288548,0,0,0,
glBlitFramebuffer,402,0.07328,100,0.132631,1.79966,0.00131879,0,0,0,0,0,0,100,0.07328,0,0,0.82542,6.51146,98.5602,6,20.5,4,0.000766937,0.000261085,0,0,0,0,0,0,0,0,0,0,0,640000,85.2833,6,4,0.977245,1.30299,0,0,0,<hash><FBO>0</FBO></hash>
glBlitFramebuffer,403,0.04432,100,0.294802,4.00362,0.0017744,0,0,0,0,0,0,100,0.04432,0,0,1.83294,127.384,71.5957,6,20.5,4,0.00170469,0.000580319,0,0,0,0,0,0,0,0,0,0,0,160000,3.9715,6,4,0.555292,0.74039,0,0,0,<hash><FBO>0</FBO></hash>
glDrawArrays,101,0.02432,100,1.18036,10.7157,0.00260605,0,0,0,0,57.8996,0.0140812,0,0,0,0,4.84588,4.06016,0,36,8,2,0.00177765,0.000888826,0,0,0,0,0,12,72,472,27,0.0773791,0.00885269,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>3</GS><Program>4</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,251,0.02416,100,0.548525,8.19317,0.00197947,0,0,0,0,37.1749,0.00898145,49.5726,0.0119767,0,0,3.48941,44.9352,4.80289,36,8,2,0.000826091,0.000413046,0,0,0,0,0,12,72,472,27,0.0489464,0.0055998,20387,2.87302,34,4,2.07608,0.48849,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>3</GS><Program>4</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,151,0.02144,100,0.725144,11.0126,0.0023611,0,0,0,0,48.195,0.010333,9.3681,0.00200852,0,0,4.67631,2.53364,0.00436834,36,8,2,0.00109208,0.000546042,0,0,0,0,0,12,72,472,27,0.0645542,0.00738544,43,0,34,4,0.0134116,0.00315567,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>3</GS><Program>4</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,213,0.02096,100,0.216305,3.33644,0.000699318,0,0,0,0,14.8651,0.00311573,100,0.02096,0,0,1.51837,47.3819,124.976,36,8,2,0.00032576,0.00016288,0,0,0,0,0,12,72,472,27,0.0192837,0.00220619,490427,71.1797,34,4,27.5158,6.47431,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>3</GS><Program>4</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,212,0.0208,100,0.234171,3.61624,0.000752178,0,0,0,0,15.9512,0.00331784,100,0.0208,0,0,1.54362,41.1072,111.448,36,8,2,0.000352667,0.000176333,0,0,0,0,0,12,72,472,27,0.0208832,0.00238918,425760,64.199,34,4,20.4602,4.81416,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>3</GS><Program>4</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glClear,1,0.0192,100,1.39108,12.8528,0.00246774,0,0,0,0,0,0,0,0,0,0,7.21712,0.111652,55.4234,4,7,2,0.00160157,0.000915181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO></hash>
glDrawArrays,401,0.01872,100,0.884602,13.3197,0.00249344,0,0,0,0,57.9221,0.010843,0,0,0,0,5.3689,3.13607,0,36,8,2,0.00133223,0.000666116,0,0,0,0,0,12,72,472,27,0.0784554,0.00897583,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>3</GS><Program>4</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
